Tr,a,i,j,k,t,e 
0,4,1,1,1,5,6 
0,4,1,1,1,5,7 
0,4,1,1,1,5,8 
0,4,1,1,1,5,9 
0,4,1,1,1,5,10 
0,4,1,1,1,5,11 
0,4,1,1,1,5,12 
3392,4,1,1,1,5,13 
0,4,1,1,1,5,14 
0,4,1,1,1,5,15 
0,5,1,1,1,5,1 
0,5,1,1,1,5,2 
0,5,1,1,1,5,3 
0,5,1,1,1,5,4 
14462,5,1,1,1,5,5 
0,5,1,1,1,5,6 
0,5,1,1,1,5,7 
0,5,1,1,1,5,8 
0,5,1,1,1,5,9 
0,5,1,1,1,5,10 
0,5,1,1,1,5,11 
0,5,1,1,1,5,12 
0,5,1,1,1,5,13 
0,5,1,1,1,5,14 
0,5,1,1,1,5,15 
0,6,1,1,1,5,1 
0,6,1,1,1,5,2 
0,6,1,1,1,5,3 
0,6,1,1,1,5,4 
0,6,1,1,1,5,5 
0,6,1,1,1,5,6 
0,6,1,1,1,5,7 
0,6,1,1,1,5,8 
0,6,1,1,1,5,9 
0,6,1,1,1,5,10 
0,6,1,1,1,5,11 
0,6,1,1,1,5,12 
41083,6,1,1,1,5,13 
0,6,1,1,1,5,14 
0,6,1,1,1,5,15 
0,7,1,1,1,5,1 
0,7,1,1,1,5,2 
0,7,1,1,1,5,3 
0,7,1,1,1,5,4 
0,7,1,1,1,5,5 
0,7,1,1,1,5,6 
0,7,1,1,1,5,7 
0,7,1,1,1,5,8 
0,7,1,1,1,5,9 
0,7,1,1,1,5,10 
0,7,1,1,1,5,11 
0,7,1,1,1,5,12 
16120,7,1,1,1,5,13 
0,7,1,1,1,5,14 
0,7,1,1,1,5,15 
0,8,1,1,1,5,1 
0,8,1,1,1,5,2 
0,8,1,1,1,5,3 
0,8,1,1,1,5,4 
11191,8,1,1,1,5,5 
0,8,1,1,1,5,6 
0,8,1,1,1,5,7 
0,8,1,1,1,5,8 
0,8,1,1,1,5,9 
0,8,1,1,1,5,10 
0,8,1,1,1,5,11 
0,8,1,1,1,5,12 
0,8,1,1,1,5,13 
0,8,1,1,1,5,14 
0,8,1,1,1,5,15 
0,9,1,1,1,5,1 
0,9,1,1,1,5,2 
0,9,1,1,1,5,3 
0,9,1,1,1,5,4 
0,9,1,1,1,5,5 
0,9,1,1,1,5,6 
0,9,1,1,1,5,7 
0,9,1,1,1,5,8 
0,9,1,1,1,5,9 
0,9,1,1,1,5,10 
0,9,1,1,1,5,11 
0,9,1,1,1,5,12 
11293,9,1,1,1,5,13 
0,9,1,1,1,5,14 
0,9,1,1,1,5,15 
0,10,1,1,1,5,1 
0,10,1,1,1,5,2 
0,10,1,1,1,5,3 
0,10,1,1,1,5,4 
0,10,1,1,1,5,5 
0,10,1,1,1,5,6 
0,10,1,1,1,5,7 
0,10,1,1,1,5,8 
0,10,1,1,1,5,9 
0,10,1,1,1,5,10 
0,10,1,1,1,5,11 
0,10,1,1,1,5,12 
11513,10,1,1,1,5,13 
0,10,1,1,1,5,14 
0,10,1,1,1,5,15 
0,1,2,1,1,10,1 
0,1,2,1,1,10,2 
0,1,2,1,1,10,3 
0,1,2,1,1,10,4 
0,1,2,1,1,10,5 
0,1,2,1,1,10,6 
0,1,2,1,1,10,7 
0,1,2,1,1,10,8 
0,1,2,1,1,10,9 
0,1,2,1,1,10,10 
0,1,2,1,1,10,11 
0,1,2,1,1,10,12 
0,1,2,1,1,10,13 
0,1,2,1,1,10,14 
276,1,2,1,1,10,15 
0,2,2,1,1,10,1 
0,2,2,1,1,10,2 
0,2,2,1,1,10,3 
0,2,2,1,1,10,4 
0,2,2,1,1,10,5 
0,2,2,1,1,10,6 
0,2,2,1,1,10,7 
0,2,2,1,1,10,8 
0,2,2,1,1,10,9 
0,2,2,1,1,10,10 
0,2,2,1,1,10,11 
0,2,2,1,1,10,12 
0,2,2,1,1,10,13 
0,2,2,1,1,10,14 
1105,2,2,1,1,10,15 
0,3,2,1,1,10,1 
0,3,2,1,1,10,2 
0,3,2,1,1,10,3 
0,3,2,1,1,10,4 
0,3,2,1,1,10,5 
4514,3,2,1,1,10,6 
0,3,2,1,1,10,7 
0,3,2,1,1,10,8 
0,3,2,1,1,10,9 
0,3,2,1,1,10,10 
0,3,2,1,1,10,11 
0,3,2,1,1,10,12 
0,3,2,1,1,10,13 
0,3,2,1,1,10,14 
0,3,2,1,1,10,15 
0,4,2,1,1,10,1 
0,4,2,1,1,10,2 
0,4,2,1,1,10,3 
0,4,2,1,1,10,4 
0,4,2,1,1,10,5 
3592,4,2,1,1,10,6 
0,4,2,1,1,10,7 
0,4,2,1,1,10,8 
0,4,2,1,1,10,9 
0,4,2,1,1,10,10 
0,4,2,1,1,10,11 
0,4,2,1,1,10,12 
0,4,2,1,1,10,13 
0,4,2,1,1,10,14 
0,4,2,1,1,10,15 
0,5,2,1,1,10,1 
0,5,2,1,1,10,2 
0,5,2,1,1,10,3 
0,5,2,1,1,10,4 
0,5,2,1,1,10,5 
5251,5,2,1,1,10,6 
0,5,2,1,1,10,7 
0,5,2,1,1,10,8 
0,5,2,1,1,10,9 
0,5,2,1,1,10,10 
0,5,2,1,1,10,11 
0,5,2,1,1,10,12 
0,5,2,1,1,10,13 
0,5,2,1,1,10,14 
0,5,2,1,1,10,15 
0,6,2,1,1,10,1 
0,6,2,1,1,10,2 
0,6,2,1,1,10,3 
0,6,2,1,1,10,4 
0,6,2,1,1,10,5 
3685,6,2,1,1,10,6 
0,6,2,1,1,10,7 
0,6,2,1,1,10,8 
0,6,2,1,1,10,9 
0,6,2,1,1,10,10 
0,6,2,1,1,10,11 
0,6,2,1,1,10,12 
0,6,2,1,1,10,13 
0,6,2,1,1,10,14 
0,6,2,1,1,10,15 
0,7,2,1,1,10,1 
0,7,2,1,1,10,2 
0,7,2,1,1,10,3 
0,7,2,1,1,10,4 
0,7,2,1,1,10,5 
4329,7,2,1,1,10,6 
0,7,2,1,1,10,7 
0,7,2,1,1,10,8 
0,7,2,1,1,10,9 
0,7,2,1,1,10,10 
0,7,2,1,1,10,11 
0,7,2,1,1,10,12 
0,7,2,1,1,10,13 
0,7,2,1,1,10,14 
0,7,2,1,1,10,15 
0,8,2,1,1,10,1 
0,8,2,1,1,10,2 
0,8,2,1,1,10,3 
0,8,2,1,1,10,4 
0,8,2,1,1,10,5 
0,8,2,1,1,10,6 
0,8,2,1,1,10,7 
0,8,2,1,1,10,8 
0,8,2,1,1,10,9 
0,8,2,1,1,10,10 
0,8,2,1,1,10,11 
0,8,2,1,1,10,12 
0,8,2,1,1,10,13 
0,8,2,1,1,10,14 
10164,8,2,1,1,10,15 
0,9,2,1,1,10,1 
0,9,2,1,1,10,2 
0,9,2,1,1,10,3 
0,9,2,1,1,10,4 
0,9,2,1,1,10,5 
12631,9,2,1,1,10,6 
0,9,2,1,1,10,7 
0,9,2,1,1,10,8 
0,9,2,1,1,10,9 
0,9,2,1,1,10,10 
0,9,2,1,1,10,11 
0,9,2,1,1,10,12 
0,9,2,1,1,10,13 
0,9,2,1,1,10,14 
1462,9,2,1,1,10,15 
0,10,2,1,1,10,1 
0,10,2,1,1,10,2 
0,10,2,1,1,10,3 
0,10,2,1,1,10,4 
0,10,2,1,1,10,5 
0,10,2,1,1,10,6 
0,10,2,1,1,10,7 
0,10,2,1,1,10,8 
0,10,2,1,1,10,9 
0,10,2,1,1,10,10 
0,10,2,1,1,10,11 
0,10,2,1,1,10,12 
0,10,2,1,1,10,13 
0,10,2,1,1,10,14 
2119,10,2,1,1,10,15 
0,1,3,1,1,10,1 
0,1,3,1,1,10,2 
0,1,3,1,1,10,3 
0,1,3,1,1,10,4 
0,1,3,1,1,10,5 
0,1,3,1,1,10,6 
0,1,3,1,1,10,7 
0,1,3,1,1,10,8 
0,1,3,1,1,10,9 
8659,1,3,1,1,10,10 
0,1,3,1,1,10,11 
0,1,3,1,1,10,12 
0,1,3,1,1,10,13 
0,1,3,1,1,10,14 
0,1,3,1,1,10,15 
0,2,3,1,1,10,1 
0,2,3,1,1,10,2 
0,2,3,1,1,10,3 
0,2,3,1,1,10,4 
0,2,3,1,1,10,5 
0,2,3,1,1,10,6 
0,2,3,1,1,10,7 
0,2,3,1,1,10,8 
0,2,3,1,1,10,9 
2671,2,3,1,1,10,10 
0,2,3,1,1,10,11 
0,2,3,1,1,10,12 
0,2,3,1,1,10,13 
0,2,3,1,1,10,14 
0,2,3,1,1,10,15 
0,3,3,1,1,10,1 
0,3,3,1,1,10,2 
0,3,3,1,1,10,3 
0,3,3,1,1,10,4 
0,3,3,1,1,10,5 
0,3,3,1,1,10,6 
0,3,3,1,1,10,7 
0,3,3,1,1,10,8 
0,3,3,1,1,10,9 
19160,3,3,1,1,10,10 
0,3,3,1,1,10,11 
0,3,3,1,1,10,12 
0,3,3,1,1,10,13 
0,3,3,1,1,10,14 
0,3,3,1,1,10,15 
0,4,3,1,1,10,1 
0,4,3,1,1,10,2 
0,4,3,1,1,10,3 
0,4,3,1,1,10,4 
0,4,3,1,1,10,5 
0,4,3,1,1,10,6 
0,4,3,1,1,10,7 
0,4,3,1,1,10,8 
0,4,3,1,1,10,9 
3961,4,3,1,1,10,10 
0,4,3,1,1,10,11 
0,4,3,1,1,10,12 
0,4,3,1,1,10,13 
0,4,3,1,1,10,14 
0,4,3,1,1,10,15 
0,5,3,1,1,10,1 
0,5,3,1,1,10,2 
0,5,3,1,1,10,3 
0,5,3,1,1,10,4 
0,5,3,1,1,10,5 
0,5,3,1,1,10,6 
0,5,3,1,1,10,7 
0,5,3,1,1,10,8 
829,5,3,1,1,10,9 
0,5,3,1,1,10,10 
0,5,3,1,1,10,11 
0,5,3,1,1,10,12 
0,5,3,1,1,10,13 
0,5,3,1,1,10,14 
0,5,3,1,1,10,15 
0,6,3,1,1,10,1 
0,6,3,1,1,10,2 
0,6,3,1,1,10,3 
0,6,3,1,1,10,4 
0,6,3,1,1,10,5 
0,6,3,1,1,10,6 
0,6,3,1,1,10,7 
0,6,3,1,1,10,8 
0,6,3,1,1,10,9 
3316,6,3,1,1,10,10 
0,6,3,1,1,10,11 
0,6,3,1,1,10,12 
0,6,3,1,1,10,13 
0,6,3,1,1,10,14 
0,6,3,1,1,10,15 
0,7,3,1,1,10,1 
0,7,3,1,1,10,2 
0,7,3,1,1,10,3 
0,7,3,1,1,10,4 
0,7,3,1,1,10,5 
0,7,3,1,1,10,6 
0,7,3,1,1,10,7 
0,7,3,1,1,10,8 
7451,7,3,1,1,10,9 
1126,7,3,1,1,10,10 
0,7,3,1,1,10,11 
0,7,3,1,1,10,12 
0,7,3,1,1,10,13 
0,7,3,1,1,10,14 
0,7,3,1,1,10,15 
0,8,3,1,1,10,1 
0,8,3,1,1,10,2 
0,8,3,1,1,10,3 
0,8,3,1,1,10,4 
0,8,3,1,1,10,5 
0,8,3,1,1,10,6 
0,8,3,1,1,10,7 
0,8,3,1,1,10,8 
0,8,3,1,1,10,9 
0,8,3,1,1,10,10 
0,8,3,1,1,10,11 
0,8,3,1,1,10,12 
0,8,3,1,1,10,13 
0,8,3,1,1,10,14 
0,8,3,1,1,10,15 
0,9,3,1,1,10,1 
0,9,3,1,1,10,2 
0,9,3,1,1,10,3 
0,9,3,1,1,10,4 
0,9,3,1,1,10,5 
0,9,3,1,1,10,6 
0,9,3,1,1,10,7 
0,9,3,1,1,10,8 
8155,9,3,1,1,10,9 
0,9,3,1,1,10,10 
0,9,3,1,1,10,11 
0,9,3,1,1,10,12 
0,9,3,1,1,10,13 
0,9,3,1,1,10,14 
0,9,3,1,1,10,15 
0,10,3,1,1,10,1 
0,10,3,1,1,10,2 
0,10,3,1,1,10,3 
0,10,3,1,1,10,4 
0,10,3,1,1,10,5 
0,10,3,1,1,10,6 
0,10,3,1,1,10,7 
0,10,3,1,1,10,8 
9145,10,3,1,1,10,9 
0,10,3,1,1,10,10 
0,10,3,1,1,10,11 
0,10,3,1,1,10,12 
0,10,3,1,1,10,13 
0,10,3,1,1,10,14 
0,10,3,1,1,10,15 
0,1,1,1,1,6,1 
0,1,1,1,1,6,2 
0,1,1,1,1,6,3 
1562,1,1,1,1,6,4 
0,1,1,1,1,6,5 
0,1,1,1,1,6,6 
0,1,1,1,1,6,7 
0,1,1,1,1,6,8 
0,1,1,1,1,6,9 
0,1,1,1,1,6,10 
0,1,1,1,1,6,11 
0,1,1,1,1,6,12 
0,1,1,1,1,6,13 
0,1,1,1,1,6,14 
0,1,1,1,1,6,15 
0,2,1,1,1,6,1 
0,2,1,1,1,6,2 
0,2,1,1,1,6,3 
0,2,1,1,1,6,4 
0,2,1,1,1,6,5 
0,2,1,1,1,6,6 
0,2,1,1,1,6,7 
0,2,1,1,1,6,8 
0,2,1,1,1,6,9 
0,2,1,1,1,6,10 
0,2,1,1,1,6,11 
0,2,1,1,1,6,12 
101510,2,1,1,1,6,13 
0,2,1,1,1,6,14 
0,2,1,1,1,6,15 
0,3,1,1,1,6,1 
0,3,1,1,1,6,2 
0,3,1,1,1,6,3 
47070,3,1,1,1,6,4 
0,3,1,1,1,6,5 
0,3,1,1,1,6,6 
0,3,1,1,1,6,7 
0,3,1,1,1,6,8 
0,3,1,1,1,6,9 
0,3,1,1,1,6,10 
0,3,1,1,1,6,11 
0,3,1,1,1,6,12 
0,3,1,1,1,6,13 
0,3,1,1,1,6,14 
0,3,1,1,1,6,15 
0,4,1,1,1,6,1 
0,4,1,1,1,6,2 
0,4,1,1,1,6,3 
3569,4,1,1,1,6,4 
13487,4,1,1,1,6,5 
0,4,1,1,1,6,6 
0,4,1,1,1,6,7 
0,4,1,1,1,6,8 
0,4,1,1,1,6,9 
0,4,1,1,1,6,10 
0,4,1,1,1,6,11 
0,4,1,1,1,6,12 
9773,4,1,1,1,6,13 
0,4,1,1,1,6,14 
0,4,1,1,1,6,15 
0,5,1,1,1,6,1 
0,5,1,1,1,6,2 
0,5,1,1,1,6,3 
0,5,1,1,1,6,4 
14462,5,1,1,1,6,5 
0,5,1,1,1,6,6 
0,5,1,1,1,6,7 
0,5,1,1,1,6,8 
0,5,1,1,1,6,9 
0,5,1,1,1,6,10 
0,5,1,1,1,6,11 
0,5,1,1,1,6,12 
0,5,1,1,1,6,13 
0,5,1,1,1,6,14 
0,5,1,1,1,6,15 
0,6,1,1,1,6,1 
0,6,1,1,1,6,2 
0,6,1,1,1,6,3 
41083,6,1,1,1,6,4 
0,6,1,1,1,6,5 
0,6,1,1,1,6,6 
0,6,1,1,1,6,7 
0,6,1,1,1,6,8 
0,6,1,1,1,6,9 
0,6,1,1,1,6,10 
0,6,1,1,1,6,11 
0,6,1,1,1,6,12 
0,6,1,1,1,6,13 
0,6,1,1,1,6,14 
0,6,1,1,1,6,15 
0,7,1,1,1,6,1 
0,7,1,1,1,6,2 
0,7,1,1,1,6,3 
0,7,1,1,1,6,4 
16120,7,1,1,1,6,5 
0,7,1,1,1,6,6 
0,7,1,1,1,6,7 
0,7,1,1,1,6,8 
0,7,1,1,1,6,9 
0,7,1,1,1,6,10 
0,7,1,1,1,6,11 
0,7,1,1,1,6,12 
0,7,1,1,1,6,13 
0,7,1,1,1,6,14 
0,7,1,1,1,6,15 
0,8,1,1,1,6,1 
0,8,1,1,1,6,2 
0,8,1,1,1,6,3 
11191,8,1,1,1,6,4 
0,8,1,1,1,6,5 
0,8,1,1,1,6,6 
0,8,1,1,1,6,7 
0,8,1,1,1,6,8 
0,8,1,1,1,6,9 
0,8,1,1,1,6,10 
0,8,1,1,1,6,11 
0,8,1,1,1,6,12 
0,8,1,1,1,6,13 
0,8,1,1,1,6,14 
0,8,1,1,1,6,15 
0,9,1,1,1,6,1 
0,9,1,1,1,6,2 
0,9,1,1,1,6,3 
0,9,1,1,1,6,4 
11293,9,1,1,1,6,5 
0,9,1,1,1,6,6 
0,9,1,1,1,6,7 
0,9,1,1,1,6,8 
0,9,1,1,1,6,9 
0,9,1,1,1,6,10 
0,9,1,1,1,6,11 
0,9,1,1,1,6,12 
0,9,1,1,1,6,13 
0,9,1,1,1,6,14 
0,9,1,1,1,6,15 
0,10,1,1,1,6,1 
0,10,1,1,1,6,2 
0,10,1,1,1,6,3 
0,10,1,1,1,6,4 
11514,10,1,1,1,6,5 
0,10,1,1,1,6,6 
0,10,1,1,1,6,7 
0,10,1,1,1,6,8 
0,10,1,1,1,6,9 
0,10,1,1,1,6,10 
0,10,1,1,1,6,11 
0,10,1,1,1,6,12 
0,10,1,1,1,6,13 
0,10,1,1,1,6,14 
0,10,1,1,1,6,15 
0,1,2,1,1,10,1 
0,1,2,1,1,10,2 
0,1,2,1,1,10,3 
0,1,2,1,1,10,4 
0,1,2,1,1,10,5 
0,1,2,1,1,10,6 
0,1,2,1,1,10,7 
0,1,2,1,1,10,8 
0,1,2,1,1,10,9 
0,1,2,1,1,10,10 
0,1,2,1,1,10,11 
0,1,2,1,1,10,12 
0,1,2,1,1,10,13 
0,1,2,1,1,10,14 
276,1,2,1,1,10,15 
0,2,2,1,1,10,1 
0,2,2,1,1,10,2 
0,2,2,1,1,10,3 
0,2,2,1,1,10,4 
0,2,2,1,1,10,5 
0,2,2,1,1,10,6 
0,2,2,1,1,10,7 
0,2,2,1,1,10,8 
0,2,2,1,1,10,9 
0,2,2,1,1,10,10 
0,2,2,1,1,10,11 
0,2,2,1,1,10,12 
0,2,2,1,1,10,13 
0,2,2,1,1,10,14 
1105,2,2,1,1,10,15 
0,3,2,1,1,10,1 
0,3,2,1,1,10,2 
0,3,2,1,1,10,3 
0,3,2,1,1,10,4 
0,3,2,1,1,10,5 
4514,3,2,1,1,10,6 
0,3,2,1,1,10,7 
0,3,2,1,1,10,8 
0,3,2,1,1,10,9 
0,3,2,1,1,10,10 
0,3,2,1,1,10,11 
0,3,2,1,1,10,12 
0,3,2,1,1,10,13 
0,3,2,1,1,10,14 
0,3,2,1,1,10,15 
0,4,2,1,1,10,1 
0,4,2,1,1,10,2 
0,4,2,1,1,10,3 
0,4,2,1,1,10,4 
0,4,2,1,1,10,5 
3592,4,2,1,1,10,6 
0,4,2,1,1,10,7 
0,4,2,1,1,10,8 
0,4,2,1,1,10,9 
0,4,2,1,1,10,10 
0,4,2,1,1,10,11 
0,4,2,1,1,10,12 
0,4,2,1,1,10,13 
0,4,2,1,1,10,14 
0,4,2,1,1,10,15 
0,5,2,1,1,10,1 
0,5,2,1,1,10,2 
0,5,2,1,1,10,3 
0,5,2,1,1,10,4 
0,5,2,1,1,10,5 
5251,5,2,1,1,10,6 
0,5,2,1,1,10,7 
0,5,2,1,1,10,8 
0,5,2,1,1,10,9 
0,5,2,1,1,10,10 
0,5,2,1,1,10,11 
0,5,2,1,1,10,12 
0,5,2,1,1,10,13 
0,5,2,1,1,10,14 
0,5,2,1,1,10,15 
0,6,2,1,1,10,1 
0,6,2,1,1,10,2 
0,6,2,1,1,10,3 
0,6,2,1,1,10,4 
0,6,2,1,1,10,5 
3685,6,2,1,1,10,6 
0,6,2,1,1,10,7 
0,6,2,1,1,10,8 
0,6,2,1,1,10,9 
0,6,2,1,1,10,10 
0,6,2,1,1,10,11 
0,6,2,1,1,10,12 
0,6,2,1,1,10,13 
0,6,2,1,1,10,14 
0,6,2,1,1,10,15 
0,7,2,1,1,10,1 
0,7,2,1,1,10,2 
0,7,2,1,1,10,3 
0,7,2,1,1,10,4 
0,7,2,1,1,10,5 
4329,7,2,1,1,10,6 
0,7,2,1,1,10,7 
0,7,2,1,1,10,8 
0,7,2,1,1,10,9 
0,7,2,1,1,10,10 
0,7,2,1,1,10,11 
0,7,2,1,1,10,12 
0,7,2,1,1,10,13 
0,7,2,1,1,10,14 
0,7,2,1,1,10,15 
0,8,2,1,1,10,1 
0,8,2,1,1,10,2 
0,8,2,1,1,10,3 
0,8,2,1,1,10,4 
0,8,2,1,1,10,5 
0,8,2,1,1,10,6 
0,8,2,1,1,10,7 
0,8,2,1,1,10,8 
0,8,2,1,1,10,9 
0,8,2,1,1,10,10 
0,8,2,1,1,10,11 
0,8,2,1,1,10,12 
0,8,2,1,1,10,13 
0,8,2,1,1,10,14 
10164,8,2,1,1,10,15 
0,9,2,1,1,10,1 
0,9,2,1,1,10,2 
0,9,2,1,1,10,3 
0,9,2,1,1,10,4 
0,9,2,1,1,10,5 
12631,9,2,1,1,10,6 
0,9,2,1,1,10,7 
0,9,2,1,1,10,8 
0,9,2,1,1,10,9 
0,9,2,1,1,10,10 
0,9,2,1,1,10,11 
0,9,2,1,1,10,12 
0,9,2,1,1,10,13 
0,9,2,1,1,10,14 
1462,9,2,1,1,10,15 
0,10,2,1,1,10,1 
0,10,2,1,1,10,2 
0,10,2,1,1,10,3 
0,10,2,1,1,10,4 
0,10,2,1,1,10,5 
0,10,2,1,1,10,6 
0,10,2,1,1,10,7 
0,10,2,1,1,10,8 
0,10,2,1,1,10,9 
0,10,2,1,1,10,10 
0,10,2,1,1,10,11 
0,10,2,1,1,10,12 
0,10,2,1,1,10,13 
0,10,2,1,1,10,14 
2119,10,2,1,1,10,15 
0,1,3,1,1,10,1 
0,1,3,1,1,10,2 
0,1,3,1,1,10,3 
0,1,3,1,1,10,4 
0,1,3,1,1,10,5 
0,1,3,1,1,10,6 
0,1,3,1,1,10,7 
0,1,3,1,1,10,8 
0,1,3,1,1,10,9 
8659,1,3,1,1,10,10 
0,1,3,1,1,10,11 
0,1,3,1,1,10,12 
0,1,3,1,1,10,13 
0,1,3,1,1,10,14 
0,1,3,1,1,10,15 
0,2,3,1,1,10,1 
0,2,3,1,1,10,2 
0,2,3,1,1,10,3 
0,2,3,1,1,10,4 
0,2,3,1,1,10,5 
0,2,3,1,1,10,6 
0,2,3,1,1,10,7 
0,2,3,1,1,10,8 
0,2,3,1,1,10,9 
2671,2,3,1,1,10,10 
0,2,3,1,1,10,11 
0,2,3,1,1,10,12 
0,2,3,1,1,10,13 
0,2,3,1,1,10,14 
0,2,3,1,1,10,15 
0,3,3,1,1,10,1 
0,3,3,1,1,10,2 
0,3,3,1,1,10,3 
0,3,3,1,1,10,4 
0,3,3,1,1,10,5 
0,3,3,1,1,10,6 
0,3,3,1,1,10,7 
0,3,3,1,1,10,8 
0,3,3,1,1,10,9 
19160,3,3,1,1,10,10 
0,3,3,1,1,10,11 
0,3,3,1,1,10,12 
0,3,3,1,1,10,13 
0,3,3,1,1,10,14 
0,3,3,1,1,10,15 
0,4,3,1,1,10,1 
0,4,3,1,1,10,2 
0,4,3,1,1,10,3 
0,4,3,1,1,10,4 
0,4,3,1,1,10,5 
0,4,3,1,1,10,6 
0,4,3,1,1,10,7 
0,4,3,1,1,10,8 
0,4,3,1,1,10,9 
3961,4,3,1,1,10,10 
0,4,3,1,1,10,11 
0,4,3,1,1,10,12 
0,4,3,1,1,10,13 
0,4,3,1,1,10,14 
0,4,3,1,1,10,15 
0,5,3,1,1,10,1 
0,5,3,1,1,10,2 
0,5,3,1,1,10,3 
0,5,3,1,1,10,4 
0,5,3,1,1,10,5 
0,5,3,1,1,10,6 
0,5,3,1,1,10,7 
0,5,3,1,1,10,8 
829,5,3,1,1,10,9 
0,5,3,1,1,10,10 
0,5,3,1,1,10,11 
0,5,3,1,1,10,12 
0,5,3,1,1,10,13 
0,5,3,1,1,10,14 
0,5,3,1,1,10,15 
0,6,3,1,1,10,1 
0,6,3,1,1,10,2 
0,6,3,1,1,10,3 
0,6,3,1,1,10,4 
0,6,3,1,1,10,5 
0,6,3,1,1,10,6 
0,6,3,1,1,10,7 
0,6,3,1,1,10,8 
0,6,3,1,1,10,9 
3316,6,3,1,1,10,10 
0,6,3,1,1,10,11 
0,6,3,1,1,10,12 
0,6,3,1,1,10,13 
0,6,3,1,1,10,14 
0,6,3,1,1,10,15 
0,7,3,1,1,10,1 
0,7,3,1,1,10,2 
0,7,3,1,1,10,3 
0,7,3,1,1,10,4 
0,7,3,1,1,10,5 
0,7,3,1,1,10,6 
0,7,3,1,1,10,7 
0,7,3,1,1,10,8 
7451,7,3,1,1,10,9 
1126,7,3,1,1,10,10 
0,7,3,1,1,10,11 
0,7,3,1,1,10,12 
0,7,3,1,1,10,13 
0,7,3,1,1,10,14 
0,7,3,1,1,10,15 
0,8,3,1,1,10,1 
0,8,3,1,1,10,2 
0,8,3,1,1,10,3 
0,8,3,1,1,10,4 
0,8,3,1,1,10,5 
0,8,3,1,1,10,6 
0,8,3,1,1,10,7 
0,8,3,1,1,10,8 
0,8,3,1,1,10,9 
0,8,3,1,1,10,10 
0,8,3,1,1,10,11 
0,8,3,1,1,10,12 
0,8,3,1,1,10,13 
0,8,3,1,1,10,14 
0,8,3,1,1,10,15 
0,9,3,1,1,10,1 
0,9,3,1,1,10,2 
0,9,3,1,1,10,3 
0,9,3,1,1,10,4 
0,9,3,1,1,10,5 
0,9,3,1,1,10,6 
0,9,3,1,1,10,7 
0,9,3,1,1,10,8 
8155,9,3,1,1,10,9 
0,9,3,1,1,10,10 
0,9,3,1,1,10,11 
0,9,3,1,1,10,12 
0,9,3,1,1,10,13 
0,9,3,1,1,10,14 
0,9,3,1,1,10,15 
0,10,3,1,1,10,1 
0,10,3,1,1,10,2 
0,10,3,1,1,10,3 
0,10,3,1,1,10,4 
0,10,3,1,1,10,5 
0,10,3,1,1,10,6 
0,10,3,1,1,10,7 
0,10,3,1,1,10,8 
9145,10,3,1,1,10,9 
0,10,3,1,1,10,10 
0,10,3,1,1,10,11 
0,10,3,1,1,10,12 
0,10,3,1,1,10,13 
0,10,3,1,1,10,14 
0,10,3,1,1,10,15 
0,1,1,1,1,7,1 
0,1,1,1,1,7,2 
0,1,1,1,1,7,3 
0,1,1,1,1,7,4 
0,1,1,1,1,7,5 
0,1,1,1,1,7,6 
0,1,1,1,1,7,7 
0,1,1,1,1,7,8 
0,1,1,1,1,7,9 
0,1,1,1,1,7,10 
0,1,1,1,1,7,11 
0,1,1,1,1,7,12 
0,1,1,1,1,7,13 
0,1,1,1,1,7,14 
0,1,1,1,1,7,15 
65833,2,1,1,1,7,1 
0,2,1,1,1,7,2 
35676,2,1,1,1,7,3 
0,2,1,1,1,7,4 
0,2,1,1,1,7,5 
0,2,1,1,1,7,6 
0,2,1,1,1,7,7 
0,2,1,1,1,7,8 
0,2,1,1,1,7,9 
0,2,1,1,1,7,10 
0,2,1,1,1,7,11 
0,2,1,1,1,7,12 
0,2,1,1,1,7,13 
0,2,1,1,1,7,14 
0,2,1,1,1,7,15 
0,3,1,1,1,7,1 
0,3,1,1,1,7,2 
47070,3,1,1,1,7,3 
0,3,1,1,1,7,4 
0,3,1,1,1,7,5 
0,3,1,1,1,7,6 
0,3,1,1,1,7,7 
0,3,1,1,1,7,8 
0,3,1,1,1,7,9 
0,3,1,1,1,7,10 
0,3,1,1,1,7,11 
0,3,1,1,1,7,12 
0,3,1,1,1,7,13 
0,3,1,1,1,7,14 
0,3,1,1,1,7,15 
0,4,1,1,1,7,1 
0,4,1,1,1,7,2 
3392,4,1,1,1,7,3 
0,4,1,1,1,7,4 
0,4,1,1,1,7,5 
0,4,1,1,1,7,6 
0,4,1,1,1,7,7 
0,4,1,1,1,7,8 
0,4,1,1,1,7,9 
0,4,1,1,1,7,10 
0,4,1,1,1,7,11 
0,4,1,1,1,7,12 
0,4,1,1,1,7,13 
0,4,1,1,1,7,14 
0,4,1,1,1,7,15 
14462,5,1,1,1,7,1 
0,5,1,1,1,7,2 
0,5,1,1,1,7,3 
0,5,1,1,1,7,4 
0,5,1,1,1,7,5 
0,5,1,1,1,7,6 
0,5,1,1,1,7,7 
0,5,1,1,1,7,8 
0,5,1,1,1,7,9 
0,5,1,1,1,7,10 
0,5,1,1,1,7,11 
0,5,1,1,1,7,12 
0,5,1,1,1,7,13 
0,5,1,1,1,7,14 
0,5,1,1,1,7,15 
41083,6,1,1,1,7,1 
0,6,1,1,1,7,2 
0,6,1,1,1,7,3 
